ticker,t,date,score,fwd_5_gross,fwd_5_net,fwd_10_gross,fwd_10_net,fwd_20_gross,fwd_20_net,pit_quality,pit_net_margin,pit_current_ratio,pit_roe,score_version
A2A.MI,201,2026-02-05,0.4318127010249837,-1.1885884401180657,-1.3285884401180659,-5.150549907178281,-5.290549907178281,-8.676698446680241,-8.816698446680242,,,,,VECCHIO
A2A.MI,206,2026-02-12,0.4446886736870669,-4.009619339016501,-4.1496193390165015,-2.7265373266565973,-2.866537326656597,-5.252608025892225,-5.392608025892224,,,,,VECCHIO
A2A.MI,211,2026-02-19,0.11823224077648085,1.3366776999160557,1.1966776999160555,-3.717626761200199,-3.8576267612001987,-1.2113635431111325,-1.3513635431111326,,,,,VECCHIO
A2A.MI,216,2026-02-26,0.09977275995165737,-4.98763584502282,-5.127635845022819,-2.5968754784832626,-2.7368754784832623,-2.225891863322671,-2.3658918633226707,,,,,VECCHIO
A2A.MI,221,2026-03-05,0.0928961320777174,2.5162623704846787,2.376262370484679,2.6030343185174942,2.4630343185174945,8.893705760037541,8.75370576003754,,,,,VECCHIO
A2A.MI,226,2026-03-12,0.09335881190282642,0.08464212996688314,-0.05535787003311686,0.38087445036594225,0.24087445036594224,6.009318806918285,5.869318806918285,,,,,VECCHIO
A2A.MI,231,2026-03-19,0.2325022144788699,0.29598179510337275,0.15598179510337276,6.131077392888318,5.991077392888318,2.029602413582343,1.8896024135823433,,,,,VECCHIO
A2A.MI,236,2026-03-26,0.11471133614500718,5.817875744718837,5.677875744718837,5.607088389467396,5.4670883894673965,0.8853249845284239,0.7453249845284239,,,,,VECCHIO
A2A.MI,241,2026-04-02,0.30668244503530806,-0.1991982486588051,-0.3391982486588051,-3.8645372119635257,-4.004537211963526,-5.338647946280394,-5.478647946280395,,,,,VECCHIO
A2A.MI,246,2026-04-13,0.345815020664512,-3.6726548274001902,-3.81265482740019,-4.471066740828644,-4.611066740828644,-7.265475125852639,-7.405475125852639,,,,,VECCHIO
A2A.MI,251,2026-04-20,0.044655345722481435,-0.8288528164020925,-0.9688528164020925,-1.5333683237860551,-1.673368323786055,-6.216331899199035,-6.356331899199034,,,,,VECCHIO
A2A.MI,256,2026-04-27,0.01672844569812522,-0.7104037085299386,-0.8504037085299386,-2.925195843486217,-3.0651958434862165,-3.552018542649682,-3.6920185426496817,,,,,VECCHIO
A2A.MI,261,2026-05-05,-0.012268315836073906,-2.2306386748261464,-2.370638674826146,-4.755888868842284,-4.895888868842284,-6.5656525113324316,-6.705652511332431,,,,,VECCHIO
AAPL,201,2026-02-05,0.4803636752360605,-5.139354313932976,-5.279354313932975,-4.106417650488292,-4.246417650488292,-6.686967475679451,-6.82696747567945,0.8,0.2928,0.97,0.4773,VECCHIO
AAPL,206,2026-02-12,0.40580501937197444,1.0888990434063661,0.9488990434063661,0.936072130291965,0.796072130291965,-4.435874902304226,-4.575874902304227,0.8,0.2928,0.97,0.4773,VECCHIO
AAPL,211,2026-02-20,0.1030098631776971,-0.15118070783298743,-0.29118070783298744,-2.6910558162126064,-2.831055816212606,-6.27030838349909,-6.41030838349909,0.8,0.2928,0.97,0.4773,VECCHIO
AAPL,216,2026-02-27,0.372919089039646,-2.5437207233745207,-2.6837207233745204,-5.3221280749481625,-5.462128074948162,-5.821784408518305,-5.961784408518304,0.8,0.2928,0.97,0.4773,VECCHIO
AAPL,221,2026-03-06,0.0641559168943429,-2.850926971762646,-2.990926971762646,-3.6782359497461448,-3.8182359497461444,0.543771437485141,0.403771437485141,0.8,0.2928,0.97,0.4773,VECCHIO
AAPL,226,2026-03-13,0.08906001393549666,-0.8515871044317946,-0.9915871044317947,-0.5277435195899627,-0.6677435195899627,3.6302643799387413,3.4902643799387416,0.8,0.2928,0.97,0.4773,VECCHIO
AAPL,231,2026-03-20,0.05754415209213001,0.3266250819192962,0.1866250819192962,4.383233040695278,4.243233040695278,10.10523881797949,9.96523881797949,0.8,0.2928,0.97,0.4773,VECCHIO
AAPL,236,2026-03-27,0.03514076296844733,4.043401196306218,3.903401196306218,4.18006793718162,4.04006793718162,7.560282182107381,7.420282182107381,0.8,0.2928,0.97,0.4773,VECCHIO
AAPL,241,2026-04-06,0.2787298557475017,0.13135551058884865,-0.008644489411151354,5.481728828090038,5.341728828090038,6.941977222280116,6.801977222280116,0.8,0.2928,0.97,0.4773,VECCHIO
AAPL,246,2026-04-13,0.2719657213685638,5.34335452687984,5.20335452687984,3.2445882517219804,3.1045882517219807,12.916658523151803,12.776658523151802,0.8,0.2928,0.97,0.4773,VECCHIO
AAPL,251,2026-04-20,0.3077218351677574,-1.9923100840901542,-2.132310084090154,1.38436145331855,1.2443614533185499,9.078926809444908,8.93892680944491,0.8,0.2928,0.97,0.4773,VECCHIO
AAPL,256,2026-04-27,0.2843418461699956,3.4453128528035615,3.305312852803562,9.368113559471247,9.228113559471247,15.216174077812816,15.076174077812816,0.8,0.2928,0.97,0.4773,VECCHIO
AAPL,261,2026-05-04,0.278095289962632,5.725538009726416,5.585538009726417,7.589499253954712,7.449499253954713,13.860501931119096,13.720501931119095,1.0,0.2811,1.07,0.6731,VECCHIO
AAPL,266,2026-05-11,0.07916922242001367,1.7630189255284812,1.6230189255284813,5.347134853122948,5.207134853122948,-0.7277589640956483,-0.8677589640956483,1.0,0.2811,1.07,0.6731,VECCHIO
AAPL,271,2026-05-18,0.11419466594512767,3.522022012944981,3.382022012944981,5.828638222734273,5.688638222734273,0.4700489906319216,0.3300489906319216,1.0,0.2811,1.07,0.6731,VECCHIO
AAPL,276,2026-05-26,0.16317572053150414,2.228140607126927,2.0881406071269275,-5.766548682779393,-5.906548682779393,-4.94599963160759,-5.0859996316075895,1.0,0.2811,1.07,0.6731,VECCHIO
ABBV,201,2026-02-05,0.2027493509856404,3.8717905041175893,3.7317905041175896,2.643591075329388,2.503591075329388,5.063462752970604,4.923462752970605,0.0,,0.72,-0.9122,VECCHIO
ABBV,206,2026-02-12,0.2160433428428343,-1.1824186555632,-1.3224186555632,2.0131876180460084,1.8731876180460085,-3.437365856799446,-3.5773658567994455,0.0,,0.72,-0.9122,VECCHIO
