ticker,trend,trend_strength,structure,continuation,breakout,pullback,rsi_divergence,bollinger,notes
LR.PA,laterale,debole,LH-LL (ribassista),,,False,"bullish (prezzo nuovo min, RSI no)",dentro le bande,
OR.PA,laterale,debole,HH-HL (rialzista), | ascending triangle,,False,,dentro le bande,
MC.PA,laterale,debole,mista, | descending triangle,,False,,walk upper band (forza),
ML.PA,laterale,debole,LH-LL (ribassista), | ascending triangle,breakout rialzista sopra 33.27 (vol debole 0.9x),False,,walk upper band (forza),
ORA.PA,laterale,debole,LH-LL (ribassista),,,False,,dentro le bande,
RI.PA,laterale,debole,mista,,,False,,squeeze (compressione volatilita'),
PUB.PA,rialzista,moderato,HH-HL (rialzista), | ascending triangle,,False,,dentro le bande,
RNO.PA,laterale,debole,mista, | descending triangle,,False,,dentro le bande,
SAF.PA,laterale,debole,LH-LL (ribassista),flag/pennant rialzista (consolidamento dopo impulso) | descending triangle,breakout rialzista sopra 312.30 (vol 1.6x),False,"bullish (prezzo nuovo min, RSI no)",squeeze (compressione volatilita'),
SGO.PA,laterale,debole,mista,,,False,,squeeze (compressione volatilita'),
SAN.PA,laterale,debole,HH-HL (rialzista), | ascending triangle,,False,,squeeze (compressione volatilita'),
SU.PA,laterale,debole,mista,,,False,,dentro le bande,
GLE.PA,laterale,debole,LH-LL (ribassista), | descending triangle,breakout rialzista sopra 73.75 (vol 1.6x),False,,walk upper band (forza),
STLAP.PA,laterale,debole,mista,,,False,,dentro le bande,
STMPA.PA,rialzista,forte,HH-HL (rialzista),flag/pennant rialzista (consolidamento dopo impulso),,False,,dentro le bande,
TEP.PA,laterale,debole,mista,,,False,,dentro le bande,
HO.PA,laterale,debole,mista, | ascending triangle,,False,,squeeze (compressione volatilita'),
TTE.PA,laterale,debole,LH-LL (ribassista), | ascending triangle,breakdown sotto 74.48,False,,walk lower band (debolezza),
VIE.PA,laterale,debole,mista, | descending triangle,,False,,squeeze (compressione volatilita'),
DG.PA,laterale,debole,mista, | ascending triangle,breakout rialzista sopra 127.30 (vol debole 1.1x),False,,squeeze (compressione volatilita'),
VIV.PA,laterale,debole,mista,,,False,"bearish (prezzo nuovo max, RSI no)",squeeze (compressione volatilita'),
WLN.PA,laterale,debole,,,,False,,dentro le bande,
AAPL,ribassista,moderato,mista,,,False,,dentro le bande,
MSFT,laterale,debole,HH-HL (rialzista),,,False,,dentro le bande,
NVDA,laterale,debole,mista,,,False,,dentro le bande,
GOOGL,laterale,debole,LH-LL (ribassista), | descending triangle,,False,"bullish (prezzo nuovo min, RSI no)",dentro le bande,
AMZN,ribassista,moderato,,,,False,,dentro le bande,
META,laterale,debole,mista, | descending triangle,,False,,dentro le bande,
AVGO,laterale,debole,mista,,,False,,dentro le bande,
TSLA,laterale,debole,mista, | descending triangle,,False,,dentro le bande,
LLY,rialzista,moderato,HH-HL (rialzista), | ascending triangle,,False,"bearish (prezzo nuovo max, RSI no)",dentro le bande,
JPM,laterale,debole,mista, | ascending triangle,,False,,dentro le bande,
V,laterale,debole,LH-LL (ribassista), | ascending triangle,,False,,dentro le bande,
