ticker,entity,source,filed_date,period_end,revenue,net_income,eps_diluted,ocf,net_margin,ocf_margin,current_ratio,cash_to_lt_debt,roe
LTMC.MI,LTMC.MI,yahoo_ts,2026-04-30,2025-12-31,2247116000.0,174295000.0,0.732225,635017000.0,0.0776,0.2826,0.49,0.07,0.5362
AC.PA,AC.PA,yahoo_ts,2026-04-30,2025-12-31,5639000000.0,449000000.0,1.61,810000000.0,0.0796,0.1436,1.05,0.39,0.1048
AI.PA,AI.PA,yahoo_ts,2026-04-30,2025-12-31,26940200000.0,3517900000.0,6.08,6518400000.0,0.1306,0.242,1.17,0.36,0.1342
AIR.PA,AIR.PA,yahoo_ts,2026-04-30,2025-12-31,73420000000.0,5221000000.0,6.6,7995000000.0,0.0711,0.1089,1.16,2.02,0.2
MT.AS,MT.AS,yahoo_ts,2026-04-30,2025-12-31,61352000000.0,3152000000.0,4.11,4808000000.0,0.0514,0.0784,1.36,0.56,0.0579
CS.PA,CS.PA,yahoo_ts,2026-04-30,2025-12-31,105925000000.0,9797000000.0,4.766533,22352000000.0,0.0925,0.211,,0.37,0.2077
BNP.PA,BNP.PA,yahoo_ts,2026-04-30,2025-12-31,68804000000.0,12225000000.0,10.29,46571000000.0,0.1777,0.6769,,,0.0974
EN.PA,EN.PA,yahoo_ts,2026-04-30,2025-12-31,56877000000.0,1138000000.0,2.99,5472000000.0,0.02,0.0962,0.93,0.78,0.0873
CAP.PA,CAP.PA,yahoo_ts,2026-04-30,2025-12-31,22465000000.0,1601000000.0,9.13,2482000000.0,0.0713,0.1105,1.21,0.38,0.1374
CA.PA,CA.PA,yahoo_ts,2026-04-30,2025-12-31,84024000000.0,319000000.0,0.47,3948000000.0,0.0038,0.047,0.87,0.88,0.0291
ACA.PA,ACA.PA,yahoo_ts,2026-04-30,2025-12-31,26261000000.0,7074000000.0,2.891972,19012000000.0,0.2694,0.724,,,0.0911
BN.PA,BN.PA,yahoo_ts,2026-04-30,2025-12-31,27283000000.0,1825000000.0,2.82,3779000000.0,0.0669,0.1385,0.9,0.22,0.1079
DSY.PA,DSY.PA,yahoo_ts,2026-04-30,2025-12-31,6235700000.0,1196000000.0,0.9,1629800000.0,0.1918,0.2614,1.6,3.6,0.136
EDEN.PA,EDEN.PA,yahoo_ts,2026-04-30,2025-12-31,2961000000.0,521000000.0,2.12,1270000000.0,0.176,0.4289,0.84,0.56,-0.5651
ENGI.PA,ENGI.PA,yahoo_ts,2026-04-30,2025-12-31,71944000000.0,3827000000.0,,-1476000000.0,0.0532,-0.0205,1.08,0.36,0.1161
EL.PA,EL.PA,yahoo_ts,2026-04-30,2025-12-31,28491000000.0,2315000000.0,4.98,5291000000.0,0.0813,0.1857,1.1,0.44,0.0595
ERF.PA,ERF.PA,yahoo_ts,2026-04-30,2025-12-31,7296100000.0,474800000.0,2.55,1398900000.0,0.0651,0.1917,1.09,0.23,0.1045
RMS.PA,RMS.PA,yahoo_ts,2026-04-30,2025-12-31,16001000000.0,4524000000.0,,5374000000.0,0.2827,0.3359,4.99,359.97,0.2401
KER.PA,KER.PA,yahoo_ts,2026-04-30,2025-12-31,14675000000.0,72000000.0,,3100000000.0,0.0049,0.2112,1.99,0.43,0.0049
LR.PA,LR.PA,yahoo_ts,2026-04-30,2025-12-31,9480600000.0,1244600000.0,4.705,1576800000.0,0.1313,0.1663,1.93,0.42,0.1706
OR.PA,OR.PA,yahoo_ts,2026-04-30,2025-12-31,44052000000.0,6127200000.0,11.44,8656900000.0,0.1391,0.1965,1.44,1.22,0.1753
MC.PA,MC.PA,yahoo_ts,2026-04-30,2025-12-31,80807000000.0,10878000000.0,,18875000000.0,0.1346,0.2336,1.58,0.71,0.1612
ML.PA,ML.PA,yahoo_ts,2026-04-30,2025-12-31,25992000000.0,1665000000.0,2.33,3819000000.0,0.0641,0.1469,1.9,0.73,0.0921
ORA.PA,ORA.PA,yahoo_ts,2026-04-30,2025-12-31,40397000000.0,538000000.0,0.14,10780000000.0,0.0133,0.2669,1.11,,0.0181
RI.PA,RI.PA,yahoo_ts,2025-10-28,2025-06-30,10959000000.0,1626000000.0,6.45,1788000000.0,0.1484,0.1632,1.92,0.18,0.1069
PUB.PA,PUB.PA,yahoo_ts,2026-04-30,2025-12-31,17399000000.0,1653000000.0,6.52,2943000000.0,0.095,0.1691,0.97,1.31,0.1582
RNO.PA,RNO.PA,yahoo_ts,2026-04-30,2025-12-31,57922000000.0,-10931000000.0,-39.99,2339000000.0,-0.1887,0.0404,1.03,4.24,-0.5258
SAF.PA,SAF.PA,yahoo_ts,2026-04-30,2025-12-31,31189000000.0,7177000000.0,,5721000000.0,0.2301,0.1834,0.93,3.27,0.4837
SGO.PA,SGO.PA,yahoo_ts,2026-04-30,2025-12-31,46483000000.0,2883000000.0,5.78,5638000000.0,0.062,0.1213,1.27,0.63,0.1175
SAN.PA,SAN.PA,yahoo_ts,2026-04-30,2025-12-31,46716000000.0,7813000000.0,6.4,10750000000.0,0.1672,0.2301,1.09,0.54,0.1095
SU.PA,SU.PA,yahoo_ts,2026-04-30,2025-12-31,40152000000.0,4163000000.0,7.33,6131000000.0,0.1037,0.1527,1.19,0.31,0.172
GLE.PA,GLE.PA,yahoo_ts,2026-04-30,2025-12-31,52597000000.0,6002000000.0,6.8,-19648000000.0,0.1141,-0.3736,,,0.0856
STLAP.PA,STLAP.PA,yahoo_ts,2026-04-30,2025-12-31,153508000000.0,-22368000000.0,-7.75,-4650000000.0,-0.1457,-0.0303,1.02,1.0,-0.4177
STMPA.PA,STMPA.PA,yahoo_ts,2026-04-30,2025-12-31,11800000000.0,166000000.0,0.18,2152000000.0,0.0141,0.1824,3.36,1.55,0.0093
TEP.PA,TEP.PA,yahoo_ts,2026-04-30,2025-12-31,10209400000.0,497000000.0,8.4,1614000000.0,0.0487,0.1581,1.18,0.31,0.1213
HO.PA,HO.PA,yahoo_ts,2026-04-30,2025-12-31,22136400000.0,1674500000.0,8.13,3321800000.0,0.0756,0.1501,0.84,,0.2101
TTE.PA,TTE.PA,yahoo_ts,2026-04-30,2025-12-31,182344000000.0,13127000000.0,5.78,27343000000.0,0.072,0.15,0.97,0.5,0.1143
VIE.PA,VIE.PA,yahoo_ts,2026-04-30,2025-12-31,44396000000.0,1217000000.0,1.54,5153000000.0,0.0274,0.1161,0.86,0.45,0.1121
DG.PA,DG.PA,yahoo_ts,2026-04-30,2025-12-31,75702000000.0,4903000000.0,8.65,11886000000.0,0.0648,0.157,0.85,0.58,0.1594
VIV.PA,VIV.PA,yahoo_ts,2026-04-30,2025-12-31,307000000.0,20000000.0,0.02,-65000000.0,0.0651,-0.2117,0.16,,0.0043
WLN.PA,WLN.PA,yahoo_ts,2026-04-30,2025-12-31,4029900000.0,-5156500000.0,-18.41,454600000.0,-1.2796,0.1128,1.1,0.42,-1.5859
