date,equity,cash,invested,n_pos,exposure
2018-10-11,100000.0,100000.0,0.0,0,0.0
2018-10-12,100000.0,100000.0,0.0,0,0.0
2018-10-15,100000.0,100000.0,0.0,0,0.0
2018-10-16,100000.0,100000.0,0.0,0,0.0
2018-10-17,100000.0,100000.0,0.0,0,0.0
2018-10-18,100000.0,100000.0,0.0,0,0.0
2018-10-19,100000.0,100000.0,0.0,0,0.0
2018-10-22,100000.0,100000.0,0.0,0,0.0
2018-10-23,100000.0,100000.0,0.0,0,0.0
2018-10-24,100000.0,100000.0,0.0,0,0.0
2018-10-25,100000.0,100000.0,0.0,0,0.0
2018-10-26,100000.0,100000.0,0.0,0,0.0
2018-10-29,100000.0,100000.0,0.0,0,0.0
2018-10-30,100000.0,100000.0,0.0,0,0.0
2018-10-31,100000.0,100000.0,0.0,0,0.0
2018-11-01,100000.0,100000.0,0.0,0,0.0
2018-11-02,100000.0,100000.0,0.0,0,0.0
2018-11-05,100000.0,100000.0,0.0,0,0.0
2018-11-06,100000.0,100000.0,0.0,0,0.0
2018-11-07,100000.0,100000.0,0.0,0,0.0
2018-11-08,100000.0,100000.0,0.0,0,0.0
2018-11-09,100000.0,100000.0,0.0,0,0.0
2018-11-12,100000.0,100000.0,0.0,0,0.0
2018-11-13,100000.0,100000.0,0.0,0,0.0
2018-11-14,100000.0,100000.0,0.0,0,0.0
2018-11-15,100000.0,100000.0,0.0,0,0.0
2018-11-16,100000.0,100000.0,0.0,0,0.0
2018-11-19,100000.0,100000.0,0.0,0,0.0
2018-11-20,100000.0,100000.0,0.0,0,0.0
2018-11-21,100000.0,100000.0,0.0,0,0.0
2018-11-22,100000.0,100000.0,0.0,0,0.0
2018-11-23,100000.0,100000.0,0.0,0,0.0
2018-11-26,100000.0,100000.0,0.0,0,0.0
2018-11-27,100000.0,100000.0,0.0,0,0.0
2018-11-28,100000.0,100000.0,0.0,0,0.0
2018-11-29,100000.0,100000.0,0.0,0,0.0
2018-11-30,100000.0,100000.0,0.0,0,0.0
2018-12-03,100000.0,100000.0,0.0,0,0.0
2018-12-04,100000.0,100000.0,0.0,0,0.0
2018-12-05,100000.0,100000.0,0.0,0,0.0
2018-12-06,100000.0,100000.0,0.0,0,0.0
2018-12-07,100000.0,100000.0,0.0,0,0.0
2018-12-10,100000.0,100000.0,0.0,0,0.0
2018-12-11,100000.0,100000.0,0.0,0,0.0
2018-12-12,100000.0,100000.0,0.0,0,0.0
2018-12-13,100000.0,100000.0,0.0,0,0.0
2018-12-14,100000.0,100000.0,0.0,0,0.0
2018-12-17,100000.0,100000.0,0.0,0,0.0
2018-12-18,100000.0,100000.0,0.0,0,0.0
2018-12-19,100000.0,100000.0,0.0,0,0.0
2018-12-20,100000.0,100000.0,0.0,0,0.0
2018-12-21,100000.0,100000.0,0.0,0,0.0
2018-12-24,100000.0,100000.0,0.0,0,0.0
2018-12-26,100000.0,100000.0,0.0,0,0.0
2018-12-27,100000.0,100000.0,0.0,0,0.0
2018-12-28,100000.0,100000.0,0.0,0,0.0
2018-12-31,100000.0,100000.0,0.0,0,0.0
2019-01-02,100000.0,100000.0,0.0,0,0.0
2019-01-03,100000.0,100000.0,0.0,0,0.0
2019-01-04,100000.0,100000.0,0.0,0,0.0
2019-01-07,100000.0,100000.0,0.0,0,0.0
2019-01-08,100000.0,100000.0,0.0,0,0.0
2019-01-09,100000.0,100000.0,0.0,0,0.0
2019-01-10,100000.0,100000.0,0.0,0,0.0
2019-01-11,100000.0,100000.0,0.0,0,0.0
2019-01-14,100000.0,100000.0,0.0,0,0.0
2019-01-15,100000.0,100000.0,0.0,0,0.0
2019-01-16,100000.0,100000.0,0.0,0,0.0
2019-01-17,100000.0,100000.0,0.0,0,0.0
2019-01-18,100000.0,100000.0,0.0,0,0.0
2019-01-21,100000.0,100000.0,0.0,0,0.0
2019-01-22,100000.0,100000.0,0.0,0,0.0
2019-01-23,100000.0,100000.0,0.0,0,0.0
2019-01-24,100000.0,100000.0,0.0,0,0.0
2019-01-25,100000.0,100000.0,0.0,0,0.0
2019-01-28,100000.0,100000.0,0.0,0,0.0
2019-01-29,100000.0,100000.0,0.0,0,0.0
2019-01-30,100000.0,100000.0,0.0,0,0.0
2019-01-31,100000.0,100000.0,0.0,0,0.0
2019-02-01,100000.0,100000.0,0.0,0,0.0
2019-02-04,100000.0,100000.0,0.0,0,0.0
2019-02-05,100000.0,100000.0,0.0,0,0.0
2019-02-06,100000.0,100000.0,0.0,0,0.0
2019-02-07,100000.0,100000.0,0.0,0,0.0
2019-02-08,100000.0,100000.0,0.0,0,0.0
2019-02-11,100000.0,100000.0,0.0,0,0.0
2019-02-12,100000.0,100000.0,0.0,0,0.0
2019-02-13,100000.0,100000.0,0.0,0,0.0
2019-02-14,100000.0,100000.0,0.0,0,0.0
2019-02-15,100000.0,100000.0,0.0,0,0.0
2019-02-18,100000.0,100000.0,0.0,0,0.0
2019-02-19,100000.0,100000.0,0.0,0,0.0
2019-02-20,100000.0,100000.0,0.0,0,0.0
2019-02-21,100000.0,100000.0,0.0,0,0.0
2019-02-22,100000.0,100000.0,0.0,0,0.0
2019-02-25,100000.0,100000.0,0.0,0,0.0
2019-02-26,99958.35472074998,80130.8571964885,19827.497524261475,2,0.19835758181147373
2019-02-27,99395.49754498285,23406.937083700115,75988.56046128273,8,0.7645070686113626
2019-02-28,99858.21296822777,13403.712484714903,86454.50048351288,9,0.8657725580470822
2019-03-01,99654.09953882973,3422.9700014857463,96231.12953734398,10,0.965651488324853
2019-03-04,99709.43398812096,3422.9700014857463,96286.46398663521,10,0.9656705502721683
2019-03-05,100035.07741215508,3422.9700014857463,96612.10741066933,10,0.9657823026678657
2019-03-06,100296.72226383965,3422.9700014857463,96873.7522623539,10,0.9658715666452058
2019-03-07,100603.89537837784,3422.9700014857463,97180.92537689209,10,0.9659757707332133
2019-03-08,100431.5710191993,3422.9700014857463,97008.60101771355,10,0.9659173906496854
2019-03-11,100544.26845529358,3422.9700014857463,97121.29845380783,10,0.9659555929534884
2019-03-12,100760.7282208625,3388.8881236735488,97371.84009718895,10,0.9663669746784157
2019-03-13,100907.85445592483,1221.9964487322104,99685.85800719261,10,0.9878899768970317
2019-03-14,101320.16764660829,1215.4295186614308,100104.73812794685,10,0.9880040711845178
2019-03-15,102050.64434330314,1037.8504647478385,101012.7938785553,10,0.9898300449602605
2019-03-18,102173.50443427413,1037.8504647478385,101135.65396952629,10,0.9898422739780305
2019-03-19,102401.20928017944,1037.8504647478385,101363.3588154316,10,0.9898648612448688
2019-03-20,102162.77664177268,1037.8504647478385,101124.92617702484,10,0.9898412073471046
2019-03-21,102897.10342614501,1037.8504647478385,101859.25296139717,10,0.9899137057294061
2019-03-22,101508.13663952201,1037.8504647478385,100470.28617477417,10,0.989775691889277
2019-03-25,101663.78338258117,1037.8504647478385,100625.93291783333,10,0.9897913452537744
2019-03-26,102659.57620602424,1859.8423166828943,100799.73388934135,10,0.9818834015742435
2019-03-27,101938.74980152806,1310.0859395380885,100628.66386198997,10,0.9871483028574631
2019-03-28,101811.96216087644,1081.6996474773223,100730.26251339912,10,0.9893755151701321
2019-03-29,102210.561249567,1118.3204434642594,101092.24080610275,10,0.9890586605748729
2019-04-01,102130.77588374708,1118.3204434642594,101012.45544028282,10,0.9890501131144132
2019-04-02,102152.30326016042,1118.3204434642594,101033.98281669617,10,0.9890524206721396
2019-04-03,102376.83881790731,1118.3204434642594,101258.51837444305,10,0.9890764311891544
2019-04-04,102177.66567714307,1118.3204434642594,101059.34523367882,10,0.9890551380670813
2019-04-05,102413.98589665983,1118.3204434642594,101295.66545319557,10,0.9890803933303339
2019-04-08,102387.63118178937,1118.3204434642594,101269.31073832512,10,0.9890775826087951
2019-04-09,102070.03731330388,35.46605118268235,102034.5712621212,10,0.9996525322012588
2019-04-10,101951.5289140855,16.79724728214933,101934.73166680336,10,0.999835242811353
2019-04-11,102012.77944266426,421.1661938391935,101591.61324882507,10,0.9958714369303514
2019-04-12,103780.38432548917,211.65683744823946,103568.72748804092,10,0.9979605313776405
2019-04-15,104328.55578373349,211.65683744823946,104116.89894628525,10,0.9979712473171104
2019-04-16,104194.81383512891,211.65683744823946,103983.15699768066,10,0.9979686432591246
2019-04-17,104867.45516107953,211.65683744823946,104655.79832363129,10,0.9979816727971216
2019-04-18,104527.05441378034,211.65683744823946,104315.39757633209,10,0.9979750999524929
2019-04-22,104298.88493441022,211.65683744823946,104087.22809696198,10,0.997970670179443
2019-04-23,104573.50611399091,211.65683744823946,104361.84927654266,10,0.9979759994159751
2019-04-24,104664.96915164903,271.9088231654405,104393.06032848358,10,0.9974021028681385
2019-04-25,104601.35892472764,5685.276713233199,98916.08221149445,10,0.9456481562794573
2019-04-26,104688.08257991716,5423.025411910263,99265.0571680069,10,0.9481982544883233
2019-04-29,105072.02286947462,5393.005114919868,99679.01775455475,10,0.9486732531872989
2019-04-30,105422.3015540907,5393.005114919868,100029.29643917084,10,0.9488437926755678
2019-05-01,104975.36373365614,5393.005114919868,99582.35861873627,10,0.9486259925842885
2019-05-02,103410.87221182081,5393.005114919868,98017.86709690094,10,0.9478487609709629
2019-05-03,103112.80994451734,5393.005114919868,97719.80482959747,10,0.947698010384726
2019-05-06,102464.46373975965,5393.005114919868,97071.45862483978,10,0.9473670683660914
2019-05-07,101147.54105509016,5393.005114919868,95754.53594017029,10,0.9466817971187005
2019-05-08,101590.98026891417,26105.30913778014,75485.67113113403,8,0.7430351683911441
2019-05-09,100589.54179471181,80319.89999478505,20269.641799926758,2,0.20150844151665448
2019-05-10,100765.97454673513,90535.63908225759,10230.335464477539,1,0.10152569367284511
2019-05-13,100538.86007394156,100538.86007394156,0.0,0,0.0
2019-05-14,100538.86007394156,100538.86007394156,0.0,0,0.0
2019-05-15,100538.86007394156,100538.86007394156,0.0,0,0.0
2019-05-16,100538.86007394156,100538.86007394156,0.0,0,0.0
2019-05-17,100538.86007394156,100538.86007394156,0.0,0,0.0
2019-05-20,100538.86007394156,100538.86007394156,0.0,0,0.0
2019-05-21,100538.86007394156,100538.86007394156,0.0,0,0.0
2019-05-22,100538.86007394156,100538.86007394156,0.0,0,0.0
2019-05-23,100538.86007394156,100538.86007394156,0.0,0,0.0
2019-05-24,100538.86007394156,100538.86007394156,0.0,0,0.0
2019-05-27,100538.86007394156,100538.86007394156,0.0,0,0.0
2019-05-28,100538.86007394156,100538.86007394156,0.0,0,0.0
2019-05-29,100538.86007394156,100538.86007394156,0.0,0,0.0
2019-05-30,100538.86007394156,100538.86007394156,0.0,0,0.0
2019-05-31,100538.86007394156,100538.86007394156,0.0,0,0.0
2019-06-03,100538.86007394156,100538.86007394156,0.0,0,0.0
2019-06-04,100538.86007394156,100538.86007394156,0.0,0,0.0
2019-06-05,100538.86007394156,100538.86007394156,0.0,0,0.0
2019-06-06,100538.86007394156,100538.86007394156,0.0,0,0.0
2019-06-07,100538.86007394156,100538.86007394156,0.0,0,0.0
2019-06-10,100538.86007394156,100538.86007394156,0.0,0,0.0
2019-06-11,100538.86007394156,100538.86007394156,0.0,0,0.0
2019-06-12,100538.86007394156,100538.86007394156,0.0,0,0.0
2019-06-13,100538.86007394156,100538.86007394156,0.0,0,0.0
